Country Name,Country Code,Year,average_value_Gini index (World Bank estimate)
Sweden,SWE,1967,34.0
United Kingdom,GBR,1969,33.7
Canada,CAN,1971,37.3
United Kingdom,GBR,1974,30.0
United States,USA,1974,35.3
Sweden,SWE,1975,24.3
Canada,CAN,1975,33.3
France,FRA,1978,35.2
Norway,NOR,1979,26.9
United Kingdom,GBR,1979,28.4
United States,USA,1979,34.5
Israel,ISR,1979,36.3
Panama,PAN,1979,48.7
Spain,ESP,1980,34.5
Argentina,ARG,1980,40.8
Madagascar,MDG,1980,46.8
Sweden,SWE,1981,22.9
Australia,AUS,1981,31.3
Canada,CAN,1981,32.4
Thailand,THA,1981,45.2
Costa Rica,CRI,1981,47.5
"Venezuela, RB",VEN,1981,55.6
Brazil,BRA,1981,57.9
Switzerland,CHE,1982,36.0
Brazil,BRA,1982,58.4
Bangladesh,BGD,1983,25.9
Netherlands,NLD,1983,28.4
India,IND,1983,32.1
Brazil,BRA,1983,59.0
Indonesia,IDN,1984,32.4
France,FRA,1984,36.9
Morocco,MAR,1984,39.2
Mexico,MEX,1984,48.5
Malaysia,MYS,1984,48.6
Brazil,BRA,1984,58.4
Belgium,BEL,1985,25.2
Luxembourg,LUX,1985,26.7
Bangladesh,BGD,1985,26.9
Australia,AUS,1985,32.5
Sri Lanka,LKA,1985,32.5
Spain,ESP,1985,34.4
Nigeria,NGA,1985,38.7
Tunisia,TUN,1985,43.4
Cote d'Ivoire,CIV,1985,45.5
Botswana,BWA,1985,54.2
Brazil,BRA,1985,55.6
Norway,NOR,1986,24.6
United Kingdom,GBR,1986,31.9
Italy,ITA,1986,32.5
Costa Rica,CRI,1986,34.4
Jordan,JOR,1986,36.1
Israel,ISR,1986,36.5
United States,USA,1986,37.4
Cote d'Ivoire,CIV,1986,38.0
Argentina,ARG,1986,42.8
"Iran, Islamic Rep.",IRN,1986,47.4
Dominican Republic,DOM,1986,47.8
Lesotho,LSO,1986,56.0
Guatemala,GTM,1986,58.3
Brazil,BRA,1986,58.5
Finland,FIN,1987,22.2
Austria,AUT,1987,23.0
Sweden,SWE,1987,23.1
Denmark,DNK,1987,26.2
Netherlands,NLD,1987,26.8
Indonesia,IDN,1987,30.6
Canada,CAN,1987,31.5
India,IND,1987,32.6
Pakistan,PAK,1987,33.3
Italy,ITA,1987,34.5
Ghana,GHA,1987,35.3
Ireland,IRL,1987,35.5
Cote d'Ivoire,CIV,1987,40.5
Turkey,TUR,1987,43.5
Mauritania,MRT,1987,43.9
Argentina,ARG,1987,45.3
Malaysia,MYS,1987,47.0
"Venezuela, RB",VEN,1987,53.4
Chile,CHL,1987,56.2
Brazil,BRA,1987,59.7
Belgium,BEL,1988,25.7
Bangladesh,BGD,1988,28.8
Ghana,GHA,1988,36.0
Cote d'Ivoire,CIV,1988,36.9
Algeria,DZA,1988,40.2
Trinidad and Tobago,TTO,1988,42.6
Jamaica,JAM,1988,43.2
Thailand,THA,1988,43.8
Brazil,BRA,1988,61.4
France,FRA,1989,32.2
Italy,ITA,1989,32.6
Australia,AUS,1989,33.2
"Venezuela, RB",VEN,1989,43.8
Uganda,UGA,1989,44.4
Malaysia,MYS,1989,46.2
Costa Rica,CRI,1989,46.7
Dominican Republic,DOM,1989,50.5
Mexico,MEX,1989,50.6
Panama,PAN,1989,58.9
Honduras,HND,1989,59.5
Guatemala,GTM,1989,59.6
Brazil,BRA,1989,63.3
Netherlands,NLD,1990,31.1
Indonesia,IDN,1990,31.2
"Egypt, Arab Rep.",EGY,1990,32.0
Spain,ESP,1990,32.0
China,CHN,1990,32.2
Sri Lanka,LKA,1990,32.4
Pakistan,PAK,1990,33.2
Morocco,MAR,1990,39.2
